generated_rd,target_fecha,target_hora,signal_key,edge_label,alert_level,best_score,best_lift,best_mi,best_chi2,rows_used,support,top3,top12,top_pairs,notified,fingerprint
2026-04-05 13:32:22,2026-04-05,2PM,2026-04-05|Anguilla|2PM,SEÑAL DÉBIL,INFO,1.019338,2.318309,0.000555,7.936213,5365,1451,83|24|51,83|24|51|46|39|31|95|98|47|60|52|62,,0,bfbb884f07c6a85cb423830247a10fcf
2026-04-05 14:53:21,2026-04-05,3PM,2026-04-05|Anguilla|3PM,SEÑAL DÉBIL,INFO,0.957465,2.154221,0.000473,6.560381,5366,1387,18|32|06,18|32|06|93|89|86|48|60|72|44|52|47,,0,fb28f738405b6bef7af16c2501aea550
2026-04-05 15:46:43,2026-04-05,4PM,2026-04-05|Anguilla|4PM,EDGE MODERADO,LOW,1.13687,2.651349,0.000856,11.969452,5367,1387,59|96|29,59|96|29|26|09|35|86|56|14|28|20|15,,0,86f1a8cdef1bd0b8318b60c23352c02e
2026-04-05 16:53:01,2026-04-05,5PM,2026-04-05|Anguilla|5PM,EDGE MODERADO,LOW,1.092576,2.324178,0.000616,8.809411,5368,1380,12|00|61,12|00|61|29|56|54|89|49|71|64|10|21,,0,53a3946400052812d149467ef591de22
2026-04-05 17:59:24,2026-04-05,6PM,2026-04-05|Anguilla|6PM,EDGE MODERADO,LOW,1.181702,2.048077,0.000419,5.701124,5369,1403,87|88|35,87|88|35|12|74|43|13|22|20|95|86|33,,0,906b88b917a95ffb220c3c958e65a83f
2026-04-05 18:42:36,2026-04-05,7PM,2026-04-05|Anguilla|7PM,EDGE MODERADO,LOW,1.164173,2.645271,0.000715,10.792325,5370,1423,53|85|71,53|85|71|87|69|44|15|18|82|04|20|62,,1,889b0fefae2c0fd406ee8e14c4e8f939
2026-04-05 07:58:08,2026-04-05,8AM,2026-04-05|Anguilla|8AM,SEÑAL DÉBIL,INFO,0.948593,2.271832,0.000539,7.659084,5359,1398,24|79|81,24|79|81|84|89|57|32|94|34|72|53|05,,0,484d4c284e5747839c93ce1daf354398
2026-04-05 19:53:44,2026-04-05,8PM,2026-04-05|Anguilla|8PM,EDGE MODERADO,LOW,1.014197,2.093886,0.000488,6.697675,5371,1458,17|20|69,17|20|69|59|16|39|43|42|85|15|37|80,,0,1f9ff0e314a204f7bea938a547cce8b0
2026-04-05 20:43:33,2026-04-05,9PM,2026-04-05|Anguilla|9PM,EDGE REAL,MEDIUM,1.292055,2.460036,0.000822,12.00581,5372,1438,39|17|33,39|17|33|16|47|58|42|60|93|86|70|66,,1,041fc4bd7c678e02abb31e53a61c332a
2026-04-06 09:59:05,2026-04-06,10AM,2026-04-06|Anguilla|10AM,EDGE REAL,MEDIUM,0.90509,2.211057,0.000598,8.48341,5376,1426,63|67|70,63|67|70|22|39|29|27|32|13|52|55|35,,1,eeb5c87e33a24b1658b6c38aeec0ca4f
